Algoritmo,Modelo,Escalador,K mejores,cv_rmse,cv_mae,cv_r2,test_rmse,test_mae,test_r2,test_mape
LinearRegression,Regresion_Lineal,standard,Todas,55.63104907412353,45.50865930988982,0.4815214600570754,53.36956671032198,41.548506859880625,0.48490588894767506,37.31097043374471
Lasso,Lasso_alpha_0_01,standard,Todas,55.633610318298146,45.52042566008016,0.4814722846464576,53.35900471940944,41.54183411285384,0.4851097459889825,37.296895864134676
Ridge,Ridge_alpha_1,standard,Todas,55.66289812661887,45.60171506418942,0.4809286834938889,53.318239220163626,41.50734152605781,0.48589618270899726,37.20944344602636
RidgeCV,RidgeCV,standard,Todas,55.8193067283489,46.09845260597686,0.47812067462400093,53.306988864462504,41.496168255866245,0.48611311562684734,37.18271934547847
LassoCV,LassoCV,standard,Todas,55.965148346720355,46.073389856326,0.47515005252631387,53.276792079827764,41.48144179100055,0.48669515324493395,37.17682276479771
XGBoost,XGBoost_Regularizado,None,Todas,58.684435622272424,48.772591187489866,0.42282421440665036,52.810182313511476,42.081240611033394,0.49564705111624363,38.77068360199114
RandomForest,RandomForest_Regularizado,None,Todas,59.12395203379293,49.71113567592554,0.41451477558229444,52.65712999489667,42.657888266151495,0.4985662052237645,39.950585843619585
GradientBoosting,GradientBoosting,None,Todas,59.207826681521,49.206252593633565,0.41219748739754797,54.37673500766656,42.847629200163595,0.46528116075992454,39.28039533617216
AdaBoost,AdaBoost_Standard,None,Todas,60.079332938560675,49.77469849563184,0.3956034190269027,52.82317394554785,42.21747786417149,0.49539887269296135,40.40671140610402
SVR,SVR_RBF,standard,Todas,60.167015643664534,50.01217518660555,0.3940003216377706,51.91511845782987,41.33423934170534,0.5125984236021484,38.021841654620744
KNN,KNN_k7_distance_manhattan,standard,Todas,63.69346409533799,51.678344832795744,0.32094578881256924,54.36059034738742,42.18884980746475,0.46559863375419364,37.53870210715658
DecisionTree,Arbol_Podado,None,Todas,68.4851031349142,55.32387073153013,0.2109134768306606,54.648882329292086,43.56939176434806,0.45991539327002706,39.08453587864563
